issued_year,issn,articles,oa,scopus_asjc_code_sub_subject_area,scopus_sub_subject_area,percentile,snip,sjr,top_level_code,description,subject_area
2015,0141-6359,126,1,2200,General Engineering,92,2.054,1.226,22,Engineering,Physical Sciences
2015,0142-1123,253,3,2500,General Materials Science,87,2.311,1.476,25,Materials Science,Physical Sciences
2015,0142-1123,253,3,2611,Modeling and Simulation,95,2.311,1.476,26,Mathematics,Physical Sciences
2015,0142-1123,253,3,2209,Industrial and Manufacturing Engineering,91,2.311,1.476,22,Engineering,Physical Sciences
2015,0142-1123,253,3,2210,Mechanical Engineering,93,2.311,1.476,22,Engineering,Physical Sciences
2015,0142-1123,253,3,2211,Mechanics of Materials,92,2.311,1.476,22,Engineering,Physical Sciences
2015,0143-7208,482,1,1508,Process Chemistry and Technology,83,1.051,0.827,15,Chemical Engineering,Physical Sciences
2015,0143-7208,482,1,1500,General Chemical Engineering,90,1.051,0.827,15,Chemical Engineering,Physical Sciences
2015,0143-974X,265,2,2205,Civil and Structural Engineering,86,2.042,1.516,22,Engineering,Physical Sciences
2015,0143-974X,265,2,2211,Mechanics of Materials,82,2.042,1.516,22,Engineering,Physical Sciences
2015,0143-974X,265,2,2506,Metals and Alloys,86,2.042,1.516,25,Materials Science,Physical Sciences
2015,0143-974X,265,2,2215,Building and Construction,87,2.042,1.516,22,Engineering,Physical Sciences
2015,0147-6513,494,1,2739,"Public Health, Environmental and Occupational Health",93,1.458,1.178,27,Medicine,Health Sciences
2015,0147-6513,494,1,2310,Pollution,82,1.458,1.178,23,Environmental Science,Physical Sciences
2015,0147-6513,494,1,2307,"Health, Toxicology and Mutagenesis",81,1.458,1.178,23,Environmental Science,Physical Sciences
2015,0147-9563,165,2,2740,Pulmonary and Respiratory Medicine,52,0.877,0.676,27,Medicine,Health Sciences
2015,0147-9563,165,2,2705,Cardiology and Cardiovascular Medicine,56,0.877,0.676,27,Medicine,Health Sciences
2015,0147-9563,165,2,2706,Critical Care and Intensive Care Medicine,64,0.877,0.676,27,Medicine,Health Sciences
2015,0148-2963,352,7,1406,Marketing,95,2.76,1.871,14,"Business, Management and Accounting",Social Sciences
2015,0149-2918,761,44,2736,Pharmacology (medical),78,1.02,0.981,27,Medicine,Health Sciences
2015,0149-2918,761,44,3004,Pharmacology,72,1.02,0.981,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
2015,0161-5890,394,16,2403,Immunology,48,0.9,1.092,24,Immunology and Microbiology,Life Sciences
2015,0161-5890,394,16,1312,Molecular Biology,54,0.9,1.092,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
2015,0165-0327,743,46,2738,Psychiatry and Mental Health,90,1.673,1.945,27,Medicine,Health Sciences
2015,0165-0327,743,46,3203,Clinical Psychology,93,1.673,1.945,32,Psychology,Social Sciences
2015,0165-1765,435,13,2002,Economics and Econometrics,62,1.075,0.864,20,"Economics, Econometrics and Finance",Social Sciences
2015,0165-1765,435,13,2003,Finance,66,1.075,0.864,20,"Economics, Econometrics and Finance",Social Sciences
2015,0165-2125,107,3,2611,Modeling and Simulation,68,1.101,0.555,26,Mathematics,Physical Sciences
2015,0165-2125,107,3,2605,Computational Mathematics,74,1.101,0.555,26,Mathematics,Physical Sciences
2015,0165-2125,107,3,2604,Applied Mathematics,78,1.101,0.555,26,Mathematics,Physical Sciences
2015,0165-2125,107,3,3100,General Physics and Astronomy,67,1.101,0.555,31,Physics and Astronomy,Physical Sciences
2015,0165-6147,96,5,3004,Pharmacology,98,2.927,4.195,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
2015,0165-6147,96,5,3005,Toxicology,98,2.927,4.195,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
2015,0166-0934,261,14,2406,Virology,37,0.736,0.73,24,Immunology and Microbiology,Life Sciences
2015,0167-2738,279,5,2500,General Materials Science,76,0.934,0.84,25,Materials Science,Physical Sciences
2015,0167-2738,279,5,1600,General Chemistry,78,0.934,0.84,16,Chemistry,Physical Sciences
2015,0167-2738,279,5,3104,Condensed Matter Physics,79,0.934,0.84,31,Physics and Astronomy,Physical Sciences
