issn,subject_area,top_level
0956-5663,Physical Sciences,Engineering
0956-7135,Life Sciences,Agricultural and Biological Sciences
0956-7135,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0958-3947,Health Sciences,Medicine
0958-3947,Health Sciences,Health Professions
0959-1524,Physical Sciences,Computer Science
0959-1524,Physical Sciences,Engineering
0959-1524,Physical Sciences,Mathematics
0959-6526,Physical Sciences,Environmental Science
0959-6526,Physical Sciences,Engineering
0959-6526,Physical Sciences,Energy
0959-6526,Social Sciences,"Business, Management and Accounting"
0960-1481,Physical Sciences,Energy
0960-3085,Physical Sciences,Chemical Engineering
0960-3085,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0960-3085,Life Sciences,Agricultural and Biological Sciences
0960-8524,Physical Sciences,Environmental Science
0960-8524,Physical Sciences,Energy
0960-8524,Physical Sciences,Chemical Engineering
0966-6362,Health Sciences,Medicine
0966-6362,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0969-6989,Social Sciences,"Business, Management and Accounting"
0969-806X,Physical Sciences,Physics and Astronomy
0997-7538,Physical Sciences,Materials Science
0997-7538,Physical Sciences,Engineering
0997-7538,Physical Sciences,Physics and Astronomy
0997-7546,Physical Sciences,Mathematics
0997-7546,Physical Sciences,Physics and Astronomy
1007-5704,Physical Sciences,Mathematics
1040-6182,Physical Sciences,Earth and Planetary Sciences
1040-6190,Social Sciences,"Business, Management and Accounting"
1040-6190,Physical Sciences,Energy
1044-5803,Physical Sciences,Materials Science
1044-5803,Physical Sciences,Engineering
1044-5803,Physical Sciences,Physics and Astronomy
1044-7431,Life Sciences,Neuroscience
1044-7431,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1046-2023,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1050-4648,Life Sciences,Immunology and Microbiology
1050-4648,Life Sciences,Agricultural and Biological Sciences
1050-4648,Physical Sciences,Environmental Science
1051-0443,Health Sciences,Medicine
1061-9518,Social Sciences,"Economics, Econometrics and Finance"
1061-9518,Social Sciences,"Business, Management and Accounting"
1079-9796,Health Sciences,Medicine
1079-9796,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1084-8045,Physical Sciences,Computer Science
1084-9521,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1089-8603,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1090-9516,Social Sciences,"Economics, Econometrics and Finance"
1090-9516,Social Sciences,"Business, Management and Accounting"
1270-9638,Physical Sciences,Engineering
1342-937X,Physical Sciences,Earth and Planetary Sciences
1350-4495,Physical Sciences,Materials Science
1350-4495,Physical Sciences,Physics and Astronomy
1353-8020,Health Sciences,Medicine
1353-8020,Life Sciences,Neuroscience
1359-1789,Health Sciences,Medicine
1359-1789,Social Sciences,Psychology
1359-4311,Physical Sciences,Engineering
1359-4311,Physical Sciences,Energy
1359-6454,Physical Sciences,Materials Science
